"ENTREZID","SYMBOL"
"93010","B3GNT7"
"8534","CHST1"
"9435","CHST2"
"10164","CHST4"
"2135","EXTL2"
"2137","EXTL3"
"2134","EXTL1"
"2131","EXT1"
"2132","EXT2"
"3340","NDST1"
"8509","NDST2"
"9348","NDST3"
"64579","NDST4"
"26035","GLCE"
"9653","HS2ST1"
"9394","HS6ST1"
"90161","HS6ST2"
"266722","HS6ST3"
"9957","HS3ST1"
"9956","HS3ST2"
"9953","HS3ST3B1"
"9955","HS3ST3A1"
"222537","HS3ST5"
"2712","GK2"
"2710","GK"
"2713","GK3"
"57678","GPAM"
"150763","GPAT2"
"128966744","LOC128966744"
"137964","GPAT4"
"84803","GPAT3"
"10554","AGPAT1"
"10555","AGPAT2"
"56894","AGPAT3"
"56895","AGPAT4"
"55326","AGPAT5"
"253558","LCLAT1"
"154141","MBOAT1"
"129642","MBOAT2"
"8611","PLPP1"
"8613","PLPP3"
"8612","PLPP2"
"23175","LPIN1"
"64900","LPIN3"
"9663","LPIN2"
"84513","PLPP5"
"196051","PLPP4"
"8525","DGKZ"
"8527","DGKD"
"9162","DGKI"
"1606","DGKA"
"8526","DGKE"
"1607","DGKB"
"160851","DGKH"
"1608","DGKG"
"1609","DGKQ"
"139189","DGKK"
"8694","DGAT1"
"84649","DGAT2"
"346606","MOGAT3"
"57104","PNPLA2"
"80339","PNPLA3"
"5406","PNLIP"
"5407","PNLIPRP1"
"5408","PNLIPRP2"
"119548","PNLIPRP3"
"3990","LIPC"
"8513","LIPF"
"9388","LIPG"
"4023","LPL"
"55750","AGK"
"11343","MGLL"
"7920","ABHD16A"
"116255","MOGAT1"
"80168","MOGAT2"
"5289","PIK3C3"
"4534","MTM1"
"8776","MTMR1"
"8898","MTMR2"
"8897","MTMR3"
"9110","MTMR4"
"55613","MTMR8"
"9107","MTMR6"
"9108","MTMR7"
"64419","MTMR14"
"5297","PI4KA"
"5298","PI4KB"
"55361","PI4K2A"
"55300","PI4K2B"
"22908","SACM1L"
"22876","INPP5F"
"23396","PIP5K1C"
"8394","PIP5K1A"
"8395","PIP5K1B"
"138429","PIP5KL1"
"4952","OCRL"
"3633","INPP5B"
"56623","INPP5E"
"8867","SYNJ1"
"8871","SYNJ2"
"23236","PLCB1"
"5330","PLCB2"
"5331","PLCB3"
"5332","PLCB4"
"5333","PLCD1"
"113026","PLCD3"
"84812","PLCD4"
"51196","PLCE1"
"5335","PLCG1"
"5336","PLCG2"
"89869","PLCZ1"
"23007","PLCH1"
"9651","PLCH2"
"3707","ITPKB"
"3706","ITPKA"
"80271","ITPKC"
"3632","INPP5A"
"51763","INPP5K"
"27124","INPP5J"
"3628","INPP1"
"3613","IMPA2"
"3612","IMPA1"
"3705","ITPK1"
"253430","IPMK"
"64768","IPPK"
"3631","INPP4A"
"8821","INPP4B"
"51477","ISYNA1"
"5290","PIK3CA"
"5293","PIK3CD"
"5291","PIK3CB"
"5294","PIK3CG"
"5728","PTEN"
"3635","INPP5D"
"3636","INPPL1"
"5288","PIK3C2G"
"5286","PIK3C2A"
"5287","PIK3C2B"
"200576","PIKFYVE"
"9896","FIG4"
"79837","PIP4K2C"
